item,store,name,price,confirmed,method,http,raw,url
24,eMAG,Rezervor subteran GRP 3000L (Fibromar),3771.0,True,json-ld,200,3771.0,https://fibromar.ro/produs/rezervor-apa-pluviala-fibra-de-sticla-subteran-3000-l/
25,eMAG,Grup electrogen NPR-50 50kVA (echiv.),36422.21,True,json-ld,200,36422.21,https://www.emag.ro/grup-electrogen-generator-electric-50-kva-cu-carcasa-si-aar-ats-npr-50/pd/DM29T4BBM/
27,Dedeman,Ventilator Vortice Lineo 125,769.0,True,meta,200,769.00,https://www.dedeman.ro/ro/ventilator-industrial-axial-pentru-tubulatura-vortice-lineo-125-plastic-ipx5-33-w-2140-rpm-365-mc/h-d-125-mm-220-240-v/p/2029562
27,Leroy Merlin,Ventilator Vents In-Line 125,,False,blocat(http 403),403,,https://www.leroymerlin.ro/produse/ventilatie-baie/703/ventilator-in-line-125-mm-280-m3h-vents/22192
27,eMAG,Ventilator S&P TD-350/125 Silent,,False,blocat(http 511),511,,https://www.emag.ro/ventilator-de-tubulatura-in-line-soler-palau-td-350-125-silent-5211360400/pd/DJHSKDMBM/
27,Bricodepot,Ventilator Vents 125 axial,,False,eroare:ReadTimeout,,,https://www.bricodepot.ro/ventilator-axial-pentru-tubulatura-vents-23-37-w-125-mm-alb/cpd/100857765/
28,Dedeman,Ventilator baie Vents D 120 (174 mc/h),70.89,True,meta,200,70.89,https://www.dedeman.ro/ro/ventilator-baie-axial-vents-d-cu-plasa-insecte-plastic-ip34-17-w-174-mc/h-d-120-mm/p/2034125
28,Leroy Merlin,Ventilator Vents D125 185 m³/h,,False,blocat(http 403),403,,https://www.leroymerlin.ro/produse/ventilatoare-baie/703/ventilator-vents-d-125-mm-185-m3h-cu-jaluzele-automate/22187
28,eMAG,Ventilator Dospel Polo 5 150 mc/h,147.44,True,json-ld,200,147.44,https://www.emag.ro/ventilator-cu-senzor-de-umiditate-si-timer-diametru-120-mm-cu-debit-150-mc-h-dospel-polo-5-alb-20-007-0114/pd/D2M803BBM/
28,Bricodepot,Ventilator Vents 125 + timer,,False,eroare:ReadTimeout,,,https://www.bricodepot.ro/incalzire-si-climatizare/sisteme-de-ventilatie/fan-vents-switch-timer-125mat.html
29,Dedeman,Ventilator baie Vents D 120 (174 mc/h),70.89,True,meta,200,70.89,https://www.dedeman.ro/ro/ventilator-baie-axial-vents-d-cu-plasa-insecte-plastic-ip34-17-w-174-mc/h-d-120-mm/p/2034125
29,Leroy Merlin,Ventilator Vents D125 185 m³/h,,False,blocat(http 403),403,,https://www.leroymerlin.ro/produse/ventilatoare-baie/703/ventilator-vents-d-125-mm-185-m3h-cu-jaluzele-automate/22187
29,eMAG,Ventilator Dospel Polo 5 150 mc/h,147.44,True,json-ld,200,147.44,https://www.emag.ro/ventilator-cu-senzor-de-umiditate-si-timer-diametru-120-mm-cu-debit-150-mc-h-dospel-polo-5-alb-20-007-0114/pd/D2M803BBM/
29,Bricodepot,Ventilator Vents 125 + timer,,False,eroare:ReadTimeout,,,https://www.bricodepot.ro/incalzire-si-climatizare/sisteme-de-ventilatie/fan-vents-switch-timer-125mat.html
